SOURCE_OF_,DATE_UPDAT,EFFECTIVE_,SITE_UNIQU,COUNTRY,STATE,COUNTY,MUNICIPALI,ADDRESS_NU,PREDIR,STREETNAME,SUFFIX,POSTDIR,ESN,MSAG_COMMU,POSTAL_COM,ZIPCODE,ZIPPLUS4,BUILDING,FLOOR,UNIT,ROOM,SEAT,LANDMARK,LOC,PLACE_TYPE,ELEVATION,ADDRESS,RDNAME,SUPPLEMENT,ADDITIONAL,AMUPDDAT,AMUPDORG,FMUPDDAT,FMUPDORG,MAO_NAME,MAO_DATE,MAO_EXCEPT,SOURCE,CONGRESS_C,MSAGCODE,Latitude,Longitude,HNS
ngesi.maine.gov,2013/06/03,2013/06/03,714831@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1026,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1026 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.652998,-69.795551,
ngesi.maine.gov,2013/06/03,2013/06/03,714832@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1031,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1031 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.653394,-69.79567,
ngesi.maine.gov,2013/06/03,2013/06/03,714833@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1033,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1033 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.653508,-69.795755,
ngesi.maine.gov,2013/06/03,2013/06/03,714834@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1043,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1043 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.654094,-69.796139,
ngesi.maine.gov,2013/06/03,2013/06/03,714835@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1075,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1075 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.655982,-69.797354,
ngesi.maine.gov,2013/06/03,2013/06/03,714836@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1091,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1091 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.65691,-69.798018,
ngesi.maine.gov,2013/06/03,2013/06/03,714837@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1125,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1125 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.659477,-69.800801,
ngesi.maine.gov,2013/06/03,2013/06/03,714838@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1131,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1131 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.659915,-69.801544,
ngesi.maine.gov,2013/06/03,2013/06/03,714839@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1140,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1140 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.660136,-69.802218,
ngesi.maine.gov,2013/06/03,2013/06/03,714840@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1143,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1143 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.660373,-69.802432,
ngesi.maine.gov,2013/06/03,2013/06/03,714841@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1152,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1152 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.660578,-69.803121,
ngesi.maine.gov,2013/06/03,2013/06/03,714842@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1155,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1155 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.660821,-69.803319,
ngesi.maine.gov,2013/06/03,2013/06/03,714843@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1161,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1161 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.661055,-69.803755,
ngesi.maine.gov,2013/06/03,2013/06/03,714844@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1180,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1180 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.661688,-69.805133,
ngesi.maine.gov,2013/06/03,2013/06/03,714845@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1185,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1185 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.662004,-69.805488,
ngesi.maine.gov,2013/06/03,2013/06/03,714846@ngesi.maine.gov,US,ME,SOMERSET,SMITHFIELD,1191,E,POND,Rd,,357,SMITHFIELD,,04978,,,,,,,,,,0,1191 E POND RD,E POND RD,,,2013/11/15,bw.ngesi.maine.gov,2012/01/06,megis911bw,,,,9,ME02,2325,44.662237,-69.805916,
